MJD,BJD,FLUX2,CADENCENO,POS_CORR1,FLUX1,STARPOS,FLUX4,FLUX5,FLUX3,SAP_FLUX_ERR,BACKGROUND,TIME,SAP_QUALITY,POS_CORR2,SAP_FLUX
57621.073457520004,57621.06905496975,2014.900255758511,131139,0.26869744062423706,1830.0088715894606,1097.0448552452785,2194.233368916747,2210.612784218115,2155.3930771675587,2210.612784218115,23.746742248535156,57621.06905496975,0,0.003494224976748228,2210.612784218115
57621.09389112,57621.089487280544,2012.262330957758,131140,0.23255343735218048,1817.4291022330467,1097.0774020500526,2196.9013211941137,2213.326351858388,2157.2247616364175,2213.326351858388,23.752397537231445,57621.089487280544,0,0.0012746347347274423,2213.326351858388
57621.11432472,57621.10991959187,2010.8541700020025,131141,0.18670089542865753,1801.8252378166164,1097.1139920140365,2203.191037183862,2219.6108040109657,2162.547083889266,2219.6108040109657,23.75806999206543,57621.10991959187,0,0.0012100986205041409,2219.6108040109657
57621.13475832,57621.13035190371,2006.8950292444697,131142,0.16890986263751984,1794.069448062297,1097.1409026204728,2199.0572835836383,2215.658345103878,2158.6383601934713,2215.658345103878,23.76375389099121,57621.13035190371,0,0.0029510059393942356,2215.658345103878
57621.15519202,57621.150784316065,2001.8480290444159,131143,0.1358305960893631,1782.3334382168373,1097.1674962174259,2197.90498938136,2214.7262391756644,2156.6443457431533,2214.7262391756644,23.769454956054688,57621.150784316065,0,0.00359953916631639,2214.7262391756644
57621.17562552,57621.17121652895,1996.8241918365816,131144,0.07793598622083664,1768.5675464439169,1097.2207828742862,2195.5076780598893,2212.5012557639166,2154.031446550155,2212.5012557639166,23.77516746520996,57621.17121652895,0,0.005173475947231054,2212.5012557639166
57621.19605912,57621.191648842345,1996.7563824139106,131145,0.04627519100904465,1764.5032646916925,1097.2527634265628,2196.2950690791386,2213.1410347649644,2154.896173307549,2213.1410347649644,23.780895233154297,57621.191648842345,0,0.00440980726853013,2213.1410347649644
57621.21649272,57621.21208115626,1998.7101186839486,131146,0.01578296534717083,1763.5752588551436,1097.2865506865624,2198.7767027209393,2215.5353153900796,2157.488044357333,2215.5353153900796,23.786636352539062,57621.21208115626,0,0.001955292420461774,2215.5353153900796
57621.23692632,57621.232513470706,1994.5265926990237,131147,-0.03515684977173805,1757.892697439157,1097.3428713979442,2194.2896786613646,2211.0663403236376,2152.9389989172378,2211.0663403236376,23.79239273071289,57621.232513470706,0,-0.0010045245289802551,2211.0663403236376
57621.25735992,57621.25294578566,1997.1136396615948,131148,-0.07208647578954697,1761.0383436220186,1097.3798481986182,2195.0182153186915,2211.9096210850375,2154.332483890877,2211.9096210850375,23.79816246032715,57621.25294578566,0,-0.0034717859234660864,2211.9096210850375
