EPIC,RA,Dec,KepMag,HIP,TYC,UCAC,2MASS,Ch,Col,Row,Bmag,Vmag,Jmag,Hmag,Kmag,Teff,logg,[Fe/H],Radius,mass,Distance,E(B-V)
216367812,280.305481,-22.4744568,7.924,,,338-171026,18411331-2228279,84,920,583,,,7.924,6.901,6.549,,,,,,,
214563942,285.0664368,-26.1829758,7.925,93303,6877-100-1,320-208627,19001594-2610586,57,704,135,9.485,8.178,5.71,5.095,4.818,,,,,,,
213956224,283.665863,-27.7790451,7.929,,,312-234907,18543980-2746446,74,1043,431,,,7.929,7.003,6.617,,,,,,,
217692814,285.888031,-20.1285934,7.931,93581,6290-914-1,350-168483,19033312-2007429,47,573,364,7.785,7.804,7.59,7.627,7.542,10567,3.724,0.042,4.145,3.308,591.7,0.125
218334030,282.2835999,-18.9907398,7.931,,,356-165844,18490805-1859266,71,582,985,,,7.931,6.932,6.507,,,,,,,
217984083,282.7822266,-19.616024,7.933,,6289-1715-1,352-155068,18510773-1936576,70,799,507,9.269,8.139,6.055,5.529,5.384,,,,,,,
218428060,286.9215393,-18.8205891,7.935,,,356-177935,19074117-1849142,49,423,29,,,7.935,6.978,6.577,,,,,,,
214665279,282.3895569,-25.9353218,7.935,,,321-204696,18493350-2556073,78,375,894,,,7.935,6.929,6.504,3510,0.291,-0.322,117.466,0.986,1047,0.088
218381234,282.1775818,-18.9052505,7.935,,,356-165415,18484261-1854188,71,519,883,,,7.935,6.893,6.311,,,,,,,
213651234,283.6474609,-28.7037487,7.937,92805,6872-684-1,307-250803,18543538-2842133,74,252,715,9.919,8.278,5.13,4.177,,,,,,,,
219688088,288.8588257,-16.0991859,7.937,94635,6296-522-1,370-168150,,32,580,400,8.687,7.407,,,,4472,2.367,0.089,12.852,1.45,182.5,0.061
215442178,283.8847351,-24.2107315,7.944,,,329-176160,18553233-2412387,64,751,337,,,7.944,6.914,6.443,2715,-0.48,0.357,297.05,1.07,6107,0.381
214864701,284.2893372,-25.4651146,7.945,93041,6864-601-1,323-198557,18570945-2527545,63,291,288,9.906,8.282,5.396,,4.426,,,,,,,
218457966,293.7350464,-18.7663937,7.945,,6306-2120-1,357-186034,19345641-1845590,12,596,93,9.318,8.159,6.169,5.617,5.439,,,,,,,
215755143,284.1184082,-23.6022663,7.946,,,332-186436,18562841-2336081,64,291,696,,,7.946,7.037,6.703,,,,,,,
215057376,280.7227173,-25.0327511,7.946,,6863-1292-1,325-186331,18425345-2501579,80,657,220,9.659,8.061,5.23,,,,,,,,,
216261963,280.6377258,-22.6656723,7.949,,,337-168534,18423304-2239566,83,1054,786,,,7.949,6.997,6.655,,,,,,,
213763019,283.4371643,-28.3524723,7.956,,,309-241782,18534492-2821088,74,607,771,,,7.956,7.005,6.68,,,,,,,
218519043,292.9862061,-18.6559181,7.957,96064,6302-3173-1,357-185258,,12,928,649,9.765,8.097,,,,,,,,,,
218698342,292.6710815,-18.3234863,7.957,95942,6302-3099-1,359-190528,19304105-1819244,11,916,797,8.38,7.305,5.525,5.098,4.885,,,,,,,
213596366,283.9581299,-28.8827419,7.964,,,,18554995-2852578,74,20,535,,,7.964,6.982,6.282,,,,,,,
213511583,282.7384644,-29.167511,7.964,,,305-260173,18505722-2910030,75,88,631,,,7.964,7.035,6.523,,,,,,,
216259393,280.9279785,-22.6704502,7.965,91864,6859-235-1,337-169490,18434272-2240135,83,976,1016,8.54,8.036,6.919,6.642,6.562,6120,4.125,-0.056,1.512,1.159,74.85,0.025
216323267,280.6248474,-22.554472,7.965,,,338-172053,18422995-2233161,84,1070,817,,,7.965,6.987,6.533,,,,,,,
218154000,283.6670227,-19.3148766,7.97,,,354-161108,18544009-1918535,69,621,532,,,7.97,7.012,6.507,,,,,,,
